imdbID,Vote_Average,Vote_Count
tt5027774,8.092,9136
tt0103064,8.095,11230
tt0469494,8.097,5660
tt0338013,8.1,13267
tt0120735,8.1,5880
tt1201607,8.11,18610
tt0120382,8.129,16091
tt0078748,8.14,12690
tt0093058,8.14,9318
tt0105236,8.141,12862
tt0119217,8.146,10628
tt2543472,8.162,7241
tt1853728,8.163,23929
tt0407887,8.164,13318
tt0086250,8.166,10241
tt0075314,8.166,10543
tt7286456,8.171,22569
tt5726616,8.175,11054
tt0209144,8.19,13213
tt2119532,8.191,12157
tt0052357,8.194,5026
tt1130884,8.197,21536
tt0114814,8.197,9275
tt1454029,8.198,7160
tt0133093,8.2,23068
tt0482571,8.203,14082
tt0172495,8.205,16341
tt0076759,8.207,18505
tt0120815,8.207,14106
tt0361748,8.215,20054
tt0066921,8.22,11517
tt0081505,8.222,15608
tt2380307,8.225,17093
tt6966692,8.241,10016
tt0110357,8.258,16429
tt4154756,8.263,26694
tt4154796,8.266,22997
tt0364569,8.267,7400
tt1675434,8.275,15632
tt0078788,8.284,7166
tt1745960,8.297,6623
tt0088763,8.3,17805
tt6472976,8.301,5102
tt3915174,8.307,5207
tt0097165,8.317,9884
tt0110413,8.32,13151
tt0119698,8.34,6908
tt0102926,8.345,14408
tt0120586,8.356,10322
tt1375666,8.361,33522
tt0047396,8.361,5639
tt0114369,8.366,18638
tt2582802,8.377,13344
tt0167261,8.378,19595
tt0253474,8.383,7977
tt0080684,8.392,15238
tt0120737,8.396,22533
tt0816692,8.397,31130
tt0073486,8.4,9311
tt0347149,8.405,8191
tt4633694,8.406,12610
tt0317248,8.422,6406
tt0137523,8.432,26230
tt0054215,8.446,8888
tt0118799,8.452,11825
tt0099685,8.467,11173
tt0167260,8.474,21447
tt0109830,8.481,24488
tt0060196,8.481,7332
tt0110912,8.491,24993
tt0120689,8.507,15286
tt0468569,8.509,29525
tt6751668,8.516,15574
tt5311514,8.523,9701
tt0245429,8.54,14174
tt0108052,8.569,13966
tt0071562,8.596,10753
tt0111161,8.701,23613
tt0068646,8.711,17756
